O|End User Computing|Modern Endpoint Management|Windows 10|Microsoft
O|End User Computing|Modern Endpoint Management|M365 Optimiser|Microsoft
O|End User Computing|Modern Endpoint Management|Workspace One|VMware
C|End User Computing|Device as a Service
O|End User Computing|Device as a Service|Laptop Devices|Microsoft
O|End User Computing|Device as a Service|Laptop Devices|Dell
O|End User Computing|Device as a Service|Laptop Devices|HPE
O|End User Computing|Device as a Service|Laptop Devices|Lenovo
C|End User Computing|Desktop & Application Management
O|End User Computing|Desktop & Application Management|Windows 365|Microsoft
O|End User Computing|Desktop & Application Management|Azure Virtual Desktop|Microsoft
P|Collaboration|DIGITAL FOUNDATION · D3|Digital Foundation|D3
C|Collaboration|Modern Work & M365
O|Collaboration|Modern Work & M365|Teams|Microsoft
O|Collaboration|Modern Work & M365|Sharepoint|Microsoft
O|Collaboration|Modern Work & M365|Sharepoint Online|Microsoft
O|Collaboration|Modern Work & M365|Microsoft 365 Apps|Microsoft
O|Collaboration|Modern Work & M365|Exchange Online|Microsoft
O|Collaboration|Modern Work & M365|Viva|Microsoft
O|Collaboration|Modern Work & M365|Viva Engage|Microsoft
O|Collaboration|Modern Work & M365|Viva Insights|Microsoft
O|Collaboration|Modern Work & M365|Other|Microsoft
O|Collaboration|Modern Work & M365|Other|Microsoft
C|Collaboration|Meetings & Calling
O|Collaboration|Meetings & Calling|Teams Rooms|Microsoft
O|Collaboration|Meetings & Calling|Teams Phone|Microsoft
O|Collaboration|Meetings & Calling|Collaboration Webex Calling|Cisco
O|Collaboration|Meetings & Calling|Collaboration Webex Contact Centre|Cisco
O|Collaboration|Meetings & Calling|Other|Cisco
C|Collaboration|Adoption & Change
O|Collaboration|Adoption & Change|Adoption and Change Management|Microsoft
P|Networking|DIGITAL FOUNDATION · D3|Digital Foundation|D3
C|Networking|Enterprise & Campus Networking
O|Networking|Enterprise & Campus Networking|Networking (Nexus / ACI / Hyperfabric)|Cisco
C|Networking|SD-WAN & Connectivity
O|Networking|SD-WAN & Connectivity|SASE|Cisco
